SPP,year,RDST,chan,code,tagdate,julian,WQMT ,PIT,Fate,,,fatereach,origin,reaches,rand,n,ttp,Tmean,Tstd,Tmax,Tmin,max-min,DD,n >=20,DDT20,% >=20
SP,2000,3061A,24,205,4/28/00,119,10.9,LGRRRR,Salmon,ELK-MFS,mfs,8,SNRfish,0,0.785910285,724,15.08333333,11.73,0.58,14.41,10.93,3.48,177,0,0.00,0.0
SP,2000,3063A,24,268,5/2/00,123,11.3,BONAFF,Clearwater,CWR,cwr,8,SNRfish,0,0.05596941,1040,21.66666667,12.84,1.00,15.66,11.33,4.33,278,0,0.00,0.0
SP,2000,3069A,24,261,4/29/00,120,10.9,BONAFF,Clearwater,NFC,nfc,8,SNRfish,0,0.512140168,1041,21.6875,12.29,1.21,21.77,10.90,10.87,267,6,0.13,0.6
SP,2000,3072A,24,319,5/8/00,129,12.2,BONAFF,HellsCanyonD,HCD-SNR,hcd,8,SNRfish,0,0.473976717,1396,29.08333333,13.84,1.16,16.43,11.83,4.60,403,0,0.00,0.0
SP,2000,3083A,24,271,4/21/00,112,11.1,BONAFF,Clearwater,KFH-CWR,kfh,8,SNRfish,0,0.070660318,711,14.8125,11.28,0.46,12.41,10.36,2.05,167,0,0.00,0.0
SP,2000,3088A,24,258,5/20/00,141,13.4,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.280483906,519,10.8125,14.36,0.73,16.27,12.90,3.37,155,0,0.00,0.0
SP,2000,3111A,25,263,5/31/00,152,14.7,LGRRBR,Salmon,SAW-SAL,saw,8,SNRfish,0,0.961202515,625,13.02083333,15.37,0.41,16.65,14.45,2.20,200,0,0.00,0.0
SP,2000,3254A,25,206,5/29/00,150,15,BONAFF,Imnaha,IMW-IMR,imr,8,SNRfish,0,0.055085724,846,17.625,15.08,0.50,17.41,13.95,3.46,266,0,0.00,0.0
SP,2000,3536A,25,304,5/30/00,151,15,IMNTRP,Imnaha,IMR,imr,8,SNRfish,0,0.886399779,762,15.875,15.18,0.54,16.94,13.84,3.10,241,0,0.00,0.0
SP,2000,3563A,25,260,5/26/00,147,14.7,BONAFF,Imnaha,IMW-IMR,imr,8,SNRfish,0,0.118820795,683,14.22916667,14.85,0.43,16.40,13.70,2.70,211,0,0.00,0.0
SP,2000,3577A,25,306,5/27/00,148,14.8,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.138820583,705,14.6875,15.07,0.49,16.25,14.14,2.11,221,0,0.00,0.0
